header,prompt,paragraphs,cleaned_paragraphs
General differences,No Title,"*The coat-of-arms of House Strong does not display a fist within a black escutcheon, with red/green/blue lines radiating from it. In the books their heraldry is just the colored lines, for the forks of the Trident River.*Jason and Tyland Lannister, while twins, are never explicitly described as identical twins.*The first teaser trailer shows Ser Harrold Westerling of the Kingsguard as still alive during the events of 120 AC, the Year of the Red Spring, when in the book he passed away from old age some years before that.*Ser Vaemond Velaryon is Corlys Velaryon's nephew in the book, not his younger brother. Vaemond and half a dozen other younger Velaryon cousins are involved in a subplot in the book, but they've apparently been condensed into one character as ""Corlys's younger brother Vaemond"".",* The coat-of-arms House Strong display fist within black escutcheon red/green/blue lines radiating . In books heraldry colored lines forks Trident River . * Jason Tyland Lannister twins never explicitly described identical twins . * The first teaser trailer shows Ser Harrold Westerling Kingsguard still alive events 120 AC Year Red Spring book passed away old age years . * Ser Vaemond Velaryon Corlys Velaryon 's nephew book younger brother . Vaemond half dozen younger Velaryon cousins involved subplot book 've apparently condensed one character `` Corlys 's younger brother Vaemond '' .
General differences,Characters' physical appearances,"*As with Game of Thrones, many of the younger cast members had to be aged-up for legal as well as pragmatic reasons: i.e. in the book, Aegon II marries when he is 13 years old, but it would be explicitly illegal for a TV series filmed in the United Kingdom to depict someone younger than 16 marrying.*King Viserys I Targaryen was severely obese late in his reign: he isn't in the promo images that have been released so far, though all of these have been from the early part of his reign. Viserys had a bushy, silver-gold mustache, and cropped his hair short, while TV-Viserys wears his hair long to his shoulders.*Rhaenyra Targaryen was very beautiful in her youth, but six pregnancies ruined her figure, so that she was stout by the time she was an adult. In the TV series, adult Rhaenyra doesn't look stout. This same issue actually came up in Game of Thrones: in the books, Lysa Tully is said to be very stout after many pregnancies (all of which ended in miscarriages and stillbirths, except for one), but they didn't cast a stout actress for the live-action role.*Valyrians typically have eye colors ranging from purple to deep blue - as with Game of Thrones, this detail has been dropped.*Rhaenys Targaryen had her father Aemon's purple eyes, and her mother Jocelyn Baratheon's black hair. Her hair later gained white streaks as she aged. Prior to the publishing of Fire & Blood, her hair was simply stated to be silver, but this is now non-canon.*Although Corlys Velaryon's physical appearance is never described, the Velaryons are not known to have been black or otherwise of a dark skin tone. House Velaryon overall is described in A Feast for Crows as having typical Valyrian features such as silver hair, purple eyes, and pale skin. Aurane Waters, a bastard of House Velaryon, is considered by Cersei to resemble Rhaegar Targaryen, though he has grey-green eyes rather than purple. It is somewhat implied that lower-ranking Valyrian families weren't as strict about blood purity, but the Velaryons aren't described as one of them.*Mysaria had skin pale as milk. While she is said to be a slave from Lys, and slave populations are racially mixed, she is not described as being of partial Yi Tish (East Asian) descent. *Ser Criston Cole is not known to have been of Dornish descent - though House Cole are the stewards of Blackhaven, which is in the borderlands with Dorne. He is also not described as ""lowborn"" (the Coles are minor nobles who serve as hereditary stewards, but they are still considered nobles). He is described as having coal black hair and pale green eyes.*For most of his life, old age included, Jaehaerys I Targaryen kept his beard so long it reached his waist.",* As Game Thrones many younger cast members aged-up legal well pragmatic reasons : i.e . book Aegon II marries 13 years old would explicitly illegal TV series filmed United Kingdom depict someone younger 16 marrying . * King Viserys I Targaryen severely obese late reign : n't promo images released far though early part reign . Viserys bushy silver-gold mustache cropped hair short TV-Viserys wears hair long shoulders . * Rhaenyra Targaryen beautiful youth six pregnancies ruined figure stout time adult . In TV series adult Rhaenyra n't look stout . This issue actually came Game Thrones : books Lysa Tully said stout many pregnancies ( ended miscarriages stillbirths except one ) n't cast stout actress live-action role . * Valyrians typically eye colors ranging purple deep blue - Game Thrones detail dropped . * Rhaenys Targaryen father Aemon 's purple eyes mother Jocelyn Baratheon 's black hair . Her hair later gained white streaks aged . Prior publishing Fire & Blood hair simply stated silver non-canon . * Although Corlys Velaryon 's physical appearance never described Velaryons known black otherwise dark skin tone . House Velaryon overall described A Feast Crows typical Valyrian features silver hair purple eyes pale skin . Aurane Waters bastard House Velaryon considered Cersei resemble Rhaegar Targaryen though grey-green eyes rather purple . It somewhat implied lower-ranking Valyrian families n't strict blood purity Velaryons n't described one . * Mysaria skin pale milk . While said slave Lys slave populations racially mixed described partial Yi Tish ( East Asian ) descent . * Ser Criston Cole known Dornish descent - though House Cole stewards Blackhaven borderlands Dorne . He also described `` lowborn '' ( Coles minor nobles serve hereditary stewards still considered nobles ) . He described coal black hair pale green eyes . * For life old age included Jaehaerys I Targaryen kept beard long reached waist .
Differences by episode,"""The Heirs of the Dragon""","*King Jaehaerys was not present for the Great Council, as he was growing weak of body and mind in his old age.*The two most popular contenders at the Great Council were Viserys Targaryen and Laenor Velaryon, not Viserys and Rhaenys Targaryen.*Ser Harrold Westerling was not the sworn shield of Rhaenyra Targaryen. He may have been given a larger role in the TV series, replacing Criston Cole in some parts of the story.*There is no mention of characters named Mickon, Marlow, and Randyll Barret in Fire & Blood.*The Iron Throne is much larger in the books than in the Game of Thrones TV series, said to be a massive and ugly pile of melted swords nearly forty feet tall. The depiction of the throne in House of the Dragon is actually closer to its book description, while still trying to make it look like it's plausibly the same throne room as in the first TV series (by adding many swords sprawling along the floor away from the main chair).*The Heir's Tournament in King's Landing is based on a different tourney from Fire & Blood, taking place at Maidenpool.*The dragon in the coat-of-arms of House Targaryen is not described with four legs. Since dragons are known to have two legs, it is assumed that the heraldic dragon also has two legs as it is not described otherwise. Another difference is that the heraldic dragon in the books is breathing flames.*The coat-of-arms of House Velaryon displays an actual, real-life seahorse, not a mythological one (spelled as sea-horse with a hyphen). The mythological half-horse/half-fish design is from real-life heraldry databases.*The coat-of-arms of House Stark displays a full direwolf, not just its head. This is a difference carried over from Game of Thrones.*Daemon Targaryen is not known to have used his own coat-of-arms.*According to Fire & Blood, Viserys's son Baelon lived for one day after his mother's death, not a few hours.*The history of the Valyrian steel dagger used by the catspaw assassin (and Arya Stark in Game of Thrones) was never detailed. There are only about 200 surviving Valyrian steel blades in Westeros so it's not implausible that it belonged to the Targaryens at some point.*Daemon nastily wrote about men from the Vale and sheep in a letter; he did not announce that in a meeting of the small council.*Otto Hightower did not speak against Daemon and compare him to Maegor Targaryen in a meeting of the small council; he wrote that to his brother Lord Hightower.",* King Jaehaerys present Great Council growing weak body mind old age . * The two popular contenders Great Council Viserys Targaryen Laenor Velaryon Viserys Rhaenys Targaryen . * Ser Harrold Westerling sworn shield Rhaenyra Targaryen . He may given larger role TV series replacing Criston Cole parts story . * There mention characters named Mickon Marlow Randyll Barret Fire & Blood . * The Iron Throne much larger books Game Thrones TV series said massive ugly pile melted swords nearly forty feet tall . The depiction throne House Dragon actually closer book description still trying make look like 's plausibly throne room first TV series ( adding many swords sprawling along floor away main chair ) . * The Heir 's Tournament King 's Landing based different tourney Fire & Blood taking place Maidenpool . * The dragon coat-of-arms House Targaryen described four legs . Since dragons known two legs assumed heraldic dragon also two legs described otherwise . Another difference heraldic dragon books breathing flames . * The coat-of-arms House Velaryon displays actual real-life seahorse mythological one ( spelled sea-horse hyphen ) . The mythological half-horse/half-fish design real-life heraldry databases . * The coat-of-arms House Stark displays full direwolf head . This difference carried Game Thrones . * Daemon Targaryen known used coat-of-arms . * According Fire & Blood Viserys 's son Baelon lived one day mother 's death hours . * The history Valyrian steel dagger used catspaw assassin ( Arya Stark Game Thrones ) never detailed . There 200 surviving Valyrian steel blades Westeros 's implausible belonged Targaryens point . * Daemon nastily wrote men Vale sheep letter ; announce meeting small council . * Otto Hightower speak Daemon compare Maegor Targaryen meeting small council ; wrote brother Lord Hightower .
Differences by episode,"""The Rogue Prince""","*There is no indication in the book that Craghas Drahar suffered from greyscale.*Rhaenyra never proposed a military strike with dragonriders against Craghas Drahar in the book.*Daemon never illegally occupied and fortified Dragonstone with a private army, nor did Rhaenyra and Otto Hightower have to confront him to force him to vacate the castle; after Viserys spurned him as heir, he retreated to Dragonstone and remained sulking there in isolation.*Daemon never stole a dragon egg from the Dragonpit nor did he publicly announce his intentions to take Mysaria as a second wife; when Mysaria fell pregnant, Daemon wanted to gift her unborn child with a dragon egg, whereupon Viserys furiously put his foot down and ordered Daemon to return the egg, send Mysaria back to Lys and return to his wife in the Vale. Mysaria would apparently miscarry the child when the ship carrying her hit a storm, resulting in another brief rift between Viserys and Daemon.*In Fire & Blood, Viserys's intention to marry Alicent didn't raise much consternation with the small council or Rhaenyra, as at the time he was 25 and she was 18, while Rhaenyra was only 9 years old when her father remarried. The biggest opponents to Viserys's remarriage were Corlys and Daemon.*In Fire & Blood, there is no mention that Craghas Drahar sank any of Corlys's ships. The reason for fighting Drahar was that he and his partners used to charge outrageous tolls for safe passage.*In Fire & Blood, there is no mention that Corlys demanded that the Crown would take action against Craghas, and that Viserys refused. It is only mentioned that Corlys and Daemon joined forces against Craghas.*Viserys did not object to the idea of opposing the Triarchy, on the contrary: he provided Daemon with funds for his preparations.*Grand Maester Runciter, not Mellos, was the one who supported the idea that the king should wed Laena.*Viserys injured his hand on a blade protruding from the throne, and it was necessary to amputate two of his fingers, but it happened much later in his reign. He was not treated with maggot therapy.",* There indication book Craghas Drahar suffered greyscale . * Rhaenyra never proposed military strike dragonriders Craghas Drahar book . * Daemon never illegally occupied fortified Dragonstone private army Rhaenyra Otto Hightower confront force vacate castle ; Viserys spurned heir retreated Dragonstone remained sulking isolation . * Daemon never stole dragon egg Dragonpit publicly announce intentions take Mysaria second wife ; Mysaria fell pregnant Daemon wanted gift unborn child dragon egg whereupon Viserys furiously put foot ordered Daemon return egg send Mysaria back Lys return wife Vale . Mysaria would apparently miscarry child ship carrying hit storm resulting another brief rift Viserys Daemon . * In Fire & Blood Viserys 's intention marry Alicent n't raise much consternation small council Rhaenyra time 25 18 Rhaenyra 9 years old father remarried . The biggest opponents Viserys 's remarriage Corlys Daemon . * In Fire & Blood mention Craghas Drahar sank Corlys 's ships . The reason fighting Drahar partners used charge outrageous tolls safe passage . * In Fire & Blood mention Corlys demanded Crown would take action Craghas Viserys refused . It mentioned Corlys Daemon joined forces Craghas . * Viserys object idea opposing Triarchy contrary : provided Daemon funds preparations . * Grand Maester Runciter Mellos one supported idea king wed Laena . * Viserys injured hand blade protruding throne necessary amputate two fingers happened much later reign . He treated maggot therapy .
Differences by episode,"""Second of His Name""","*Jason and Tyland Lannister are only described as twins, not identical twins.*There is no mention in the book that Vaemond Velaryon, Laenor Velaryon, and Seasmoke participated in the War for the Stepstones.*There is no mention in the book about hostilities between the North and the Targaryens, which led to the marriage of Viserys and Aemma Arryn.*Viserys supported the idea of fighting against the Triarchy from the beginning, and gave his brother the funds for rallying troops. Daemon did not reject Viserys's assistance.* In Fire & Blood, Daemon nearly beat a messenger to death for bringing him word of Viserys's and Alicent's marriage, and the incident took place at Runestone.*There is no mention that anyone complained Corlys and Daemon dragged the Crown into war.*The encounter between Daemon and Craghas Drahar takes place two years after the war for the Stepstones began, not three years.*In Fire & Blood, Craghas did not gain the upper hand during the first two years of the conflict, on the contrary: Daemon won many victories during that period, before he encountered and killed Craghas.*In Fire & Blood, Daemon kills Craghas by beheading him, rather than cutting him in half. This is the only detail given in the book about the battle.*The hunt scenes do not occur in Fire & Blood.*There is no mention that Rhaenyra ever encountered a boar or a white stag/hart. *There is no mention of a white stag/hart in Fire & Blood.*Jason Lannister proposed to Rhaenyra during a feast held in Casterly Rock, not during a hunting trip.*There is no mention that Jason Lannister ever intended to build a dragon pit.*Viserys did not try to persuade Rhaenyra gently, by reasoning with her, to get married; he threatened her that if she refused to, he would replace her with Aegon as his heir, and she complied.*Alicent, not Otto Hightower, suggested to wed Rhaenyra to Aegon, and she did so when Aegon was six, not two. Viserys refused the suggestion because, in addition to the age gap, he knew Rhaenyra and Aegon despised each other and that Alicent had only proposed the match to get Aegon on the Iron Throne.*Lyonel Strong did not suggest Laenor Velaryon as a husband to Rhaenyra. The king and the small council decided it was the best choice.*There is no island called Dwarfstone in the Stepstones.*There is no mention of any dream Viserys had.",* Jason Tyland Lannister described twins identical twins . * There mention book Vaemond Velaryon Laenor Velaryon Seasmoke participated War Stepstones . * There mention book hostilities North Targaryens led marriage Viserys Aemma Arryn . * Viserys supported idea fighting Triarchy beginning gave brother funds rallying troops . Daemon reject Viserys 's assistance . * In Fire & Blood Daemon nearly beat messenger death bringing word Viserys 's Alicent 's marriage incident took place Runestone . * There mention anyone complained Corlys Daemon dragged Crown war . * The encounter Daemon Craghas Drahar takes place two years war Stepstones began three years . * In Fire & Blood Craghas gain upper hand first two years conflict contrary : Daemon many victories period encountered killed Craghas . * In Fire & Blood Daemon kills Craghas beheading rather cutting half . This detail given book battle . * The hunt scenes occur Fire & Blood . * There mention Rhaenyra ever encountered boar white stag/hart . * There mention white stag/hart Fire & Blood . * Jason Lannister proposed Rhaenyra feast held Casterly Rock hunting trip . * There mention Jason Lannister ever intended build dragon pit . * Viserys try persuade Rhaenyra gently reasoning get married ; threatened refused would replace Aegon heir complied . * Alicent Otto Hightower suggested wed Rhaenyra Aegon Aegon six two . Viserys refused suggestion addition age gap knew Rhaenyra Aegon despised Alicent proposed match get Aegon Iron Throne . * Lyonel Strong suggest Laenor Velaryon husband Rhaenyra . The king small council decided best choice . * There island called Dwarfstone Stepstones . * There mention dream Viserys .
Differences by episode,"""King of the Narrow Sea""","*In Fire & Blood and the A Song of Ice and Fire novels, there are no characters named Jerrel Bracken and Willem Blackwood; the only character named Beric Dondarrion is the leader of the Brotherhood Without Banners.*The phrases ""The Song of Ice and Fire"" and ""The Prince That Was Promised"" are mentioned only in the A Song of Ice and Fire novels, not in Fire & Blood. There is also no mention that Aegon the Conqueror ever used these phrases or had them carved on any object.*Otto Hightower was dismissed from his office as the King's Hand not for spying after Rhaenyra (which he never did), but because he pestered the king too much about the inheritance issue.*Baelon Targaryen served as the King's Hand for one year till his death, not five days.*Corlys indeed betrothed his daughter Laena to a son of a Sealord of Braavos, but that was many years before the time point of the episode, one year before Viserys married Alicent. No one was worried about that.*There is no mention that Rhaenyra ever used Moon tea.*Mysaria has not become yet a spy at this point.*Rhaenyra and Criston Cole never had sex. According to rumors, Rhaenyra tried to seduce Criston, but he spurned her; another source claims that Criston slipped into Rhaenyra's bedroom, confessed his love to her and begged her to elope with him, but she refused.*Viserys threatened (and realized the threat) to pull out the tongues (not eyes) of whoever mocked his grandsons that they were offsprings of Harwin Strong - not in respect of any gossip about Rhaenyra.*There is no mention that Rhaenyra ever used or was informed about any secret passage in the Red Keep.*Viserys did not learn about Rhaenyra's deeds from spies. According to the source that claims she slept with Daemon, Ser Arryk Cargyll found them in bed and brought them before the king; according to the source that claims she unsuccessfully attempted to seduce Ser Criston, rumors spread and reached Viserys, and he did not believe that until Daemon confirmed the tale.",* In Fire & Blood A Song Ice Fire novels characters named Jerrel Bracken Willem Blackwood ; character named Beric Dondarrion leader Brotherhood Without Banners . * The phrases `` The Song Ice Fire '' `` The Prince That Was Promised '' mentioned A Song Ice Fire novels Fire & Blood . There also mention Aegon Conqueror ever used phrases carved object . * Otto Hightower dismissed office King 's Hand spying Rhaenyra ( never ) pestered king much inheritance issue . * Baelon Targaryen served King 's Hand one year till death five days . * Corlys indeed betrothed daughter Laena son Sealord Braavos many years time point episode one year Viserys married Alicent . No one worried . * There mention Rhaenyra ever used Moon tea . * Mysaria become yet spy point . * Rhaenyra Criston Cole never sex . According rumors Rhaenyra tried seduce Criston spurned ; another source claims Criston slipped Rhaenyra 's bedroom confessed love begged elope refused . * Viserys threatened ( realized threat ) pull tongues ( eyes ) whoever mocked grandsons offsprings Harwin Strong - respect gossip Rhaenyra . * There mention Rhaenyra ever used informed secret passage Red Keep . * Viserys learn Rhaenyra 's deeds spies . According source claims slept Daemon Ser Arryk Cargyll found bed brought king ; according source claims unsuccessfully attempted seduce Ser Criston rumors spread reached Viserys believe Daemon confirmed tale .
